"This colour naming dataset was collected @colornaming.net and published in Mylonas, D., & MacDonald, L. (2016). Augmenting basic colour terms in English. Color Research & Application, 41(1), 32�42. https://doi.org/10.1002/col.21944",,,,
It is licenced under CC BY-NC (Attribution-NonCommercial): https://creativecommons.org/licenses/by-nc/4.0/deed.en,,,,
Author: Dimitris Mylonas: dimitris.mylonas@nulondon.ac.uk,,,,
,,,,
sample_id,colour_name,R,G,B
24,dark khaki,77,72,52
64,dark brown,77,38,28
202,Pale greyish blue,111,120,164
236,pale pink,212,160,187
308,light green,112,163,70
417,lime-green,155,188,39
422,vivid green,0,199,152
462,purplish blue,72,90,177
486,pale magenta,181,126,212
486,purple,181,126,212
501,dark navy blue,31,0,101
515,purple,125,106,212
553,PINK,213,107,217
563,red,242,0,86
585,vivid pink,255,63,196
10,white,229,229,229
23,chocolate,87,68,55
84,pale brown,130,86,69
128,very light green,201,206,147
158,brown,109,59,24
158,brown,109,59,24
176,dark magenta,107,54,88
208,pale brick,166,105,121
235,light pink,200,163,200
265,Bordeaux,87,22,71
277,green,79,106,0
307,lime green,132,159,50
367,pale red,138,23,66
511,red,219,68,53
547,coral red,255,84,91
569,MAGENTA,174,79,212
19,dark blue,26,27,43
19,dark blueblack,26,27,43
90,GREEN,64,106,80
104,pale brown,182,139,119
105,ochre,178,142,109
142,bordeaux,62,2,32
150,dark purple,48,12,53
181,rotten appale,171,105,95
361,pink,254,180,218
392,sky blue,29,128,191
412,mustard,217,168,35
418,lime green,129,193,70
504,dark purple,103,38,147
505,magenta,114,29,140
506,vivid magenta,124,16,133
600,magenta,127,0,255
21,black brown,43,22,33
116,light grey blue,127,151,174
146,NAVY BLUE,0,28,66
168,DARK GREEN,0,84,63
168,dark green,0,84,63
175,dark purple,97,57,100
211,salmon,226,158,146
233,Very light purple,182,168,211
275,toffee brown,140,84,14
305,GREEN-LEAF,157,153,30
322,sky blue,94,154,203
446,bluegreen,73,255,200
489,pink chewing gum,217,113,175
496,neon green,146,223,64
516,light purple,148,99,202
529,neon green,161,254,46
594,neon lilac,119,43,234
20,black,37,23,40
69,dark forest green,34,54,26
71,dark forest green,13,56,44
76,blueblack,25,51,75
85,Brown,125,89,58
125,sugar,232,195,159
135,light cyan,163,209,225
137,Light-sky-blue,193,201,228
262,dark purple,72,31,86
455,maroon,95,0,91
482,bluesky,72,152,235
486,lilac,181,126,212
510,red coral,220,65,74
525,pink,214,148,253
528,magenta,255,131,206
550,light purple,149,129,255
17,dark grey,10,31,33
20,dark purple,37,23,40
87,dark tan,106,97,47
158,Brown,109,59,24
199,medium blue,59,131,159
199,medium blue,59,131,159
224,Aqua,100,191,172
251,white,255,216,255
254,burgundy,98,13,37
260,DARK BLUE,55,38,96
337,sand,228,201,89
369,raspberry,140,24,42
441,Yellow,212,243,87
502,dark blue,49,58,163
513,blue,0,125,220
549,orange,255,97,20
574,hot pink,234,17,124
5,grey,97,97,97
8,light grey,175,175,175
162,dark brown,83,72,0
211,salmon,226,158,146
211,veraman,226,158,146
281,blue,0,104,149
305,mustard green,157,153,30
318,light-blue,0,165,185
440,Neon yellow,227,239,79
476,bright orange,229,118,46
499,green,0,231,160
539,purple,144,55,175
545,red and pink,255,81,128
577,blue,60,75,229
581,mauve,171,0,180
592,bright pink,222,0,197
10,white,229,229,229
32,grey,140,117,114
90,green,64,106,80
131,milky coffee,157,214,189
155,grey or green.,117,51,53
369,slate grey,140,24,42
377,pink,111,43,117
425,light blue,54,187,244
465,pink,131,71,156
469,Pink,168,50,111
484,light blue,148,137,228
511,pale red,219,68,53
512,orange,214,76,18
550,blue,149,129,255
568,blue,157,88,222
594,blue,119,43,234
45,light green,165,180,154
60,White,235,226,234
81,dark green,74,37,54
108,olive,147,153,99
129,Lime green,183,211,159
130,pastel green,165,213,177
149,BOTTLE-GREEN,46,14,55
177,dirty grey,111,52,81
192,green,59,137,104
217,ochre,189,177,93
246,plae green,156,248,201
345,LIGHT-GREEN,108,223,171
357,LIGHT PURPLE,212,191,255
482,cyan,72,152,235
504,purple,103,38,147
507,maroon,133,0,124
531,royal-blue,41,22,141
28,midnight blue,55,75,85
46,Light cyan,153,181,169
85,brown,125,89,58
99,purple,114,88,116
166,green,7,83,50
191,green,69,136,95
225,cyan,97,191,180
233,violet,182,168,211
332,moave,205,125,145
418,lime green,129,193,70
425,cyan,54,187,244
440,Yellow,227,239,79
440,yellow,227,239,79
459,reddish brown,177,50,43
493,sunshine yellow,250,194,14
579,purple,139,44,204
61,pinkish white,241,225,228
136,sky blue,179,205,228
150,Deep purple,48,12,53
175,PURPLE,97,57,100
180,pale red,171,104,101
236,pale red,212,160,187
311,leaf green,50,168,123
350,turquoise,70,223,218
361,pink,254,180,218
492,golden yellow,255,189,41
494,golden yellow,236,200,0
509,scarlet,219,64,92
531,royal blue,41,22,141
531,royal blue,41,22,141
3,dark grey,49,49,49
167,forest green,0,84,57
211,flesh pink,226,158,146
217,drab yellow,189,177,93
221,mint green,122,190,143
385,terracotta red,197,89,74
414,primary yellow,195,177,1
439,light lemon yellow,241,235,75
444,fender foam green,119,255,166
452,purple,75,18,108
494,lemon yellow,236,200,0
495,bright lime green,179,217,3
503,purple,83,48,156
530,light lime green,112,255,99
542,strong mid pink,178,21,136
576,pale-indigo,47,0,160
19,marine,26,27,43
92,turquoise,49,106,97
100,purple,121,86,107
100,purple grey,121,86,107
135,light blue,163,209,225
136,LIGHT BLUE,179,205,228
172,blue,62,68,115
185,ochre,150,118,48
197,Blue,33,134,150
201,blue,97,124,164
256,Wine red,98,18,18
278,olive green,57,109,20
284,Blue,82,93,151
400,lavender,179,93,146
455,purple,95,0,91
466,purple,142,66,148
569,purple,174,79,212
12,black,45,21,25
25,dark green,64,75,60
38,bluegrey,106,125,134
58,White,213,232,239
60,light pink,235,226,234
111,green,105,160,138
113,washed green,98,159,158
195,washed green,35,136,130
349,light green,76,223,207
352,light blue,70,220,237
396,purple,139,108,181
414,orange,195,177,1
432,pink,218,153,218
479,bright green,90,168,0
503,blue,83,48,156
503,blue,83,48,156
520,pink,199,74,156
4,dark brown,72,72,72
136,light cyan,179,205,228
158,dark-reddish-brown,109,59,24
252,dark-red,95,16,53
259,Dark blueblack,37,43,100
280,dark green,0,113,63
313,pale green,15,168,139
349,light sky blue,76,223,207
349,light sky blue,76,223,207
383,rotten appale,196,87,99
394,pale blue,102,118,190
416,light khaki,171,184,14
480,green,47,171,52
485,LILAC,168,131,220
500,light pink,255,172,255
527,pink,247,136,222
540,purple,157,45,164
566,Blue,77,109,247
8,Medium grey,175,175,175
97,teal dark,91,95,125
102,grey medium,181,138,139
113,teal,98,159,158
214,warm pink,217,165,112
247,turquoise emerald,150,248,209
288,bluedull,128,79,132
334,warm pink,255,188,113
345,turquoise light,108,223,171
351,turquoise neutral,67,222,227
404,pink,253,143,148
422,turquoise dull,0,199,152
480,green,47,171,52
16,grey black,16,31,26
108,olive green,147,153,99
199,dark turquoise,59,131,159
