DATE	5K_TIME	HIGH_TEMP_F
7-Jul	36:53.8	77
8-Jul	39:01.8	83
9-Jul	45:23.8	87
10-Jul	37:45.8	81
12-Jul	40:19.6	84
13-Jul	37:28.8	83
14-Jul	37:53.9	79
15-Jul	34:43.2	72
16-Jul	34:13.3	74
17-Jul	32:53.1	72
18-Jul	45:16.8	87
20-Jul	42:42.0	89
22-Jul	48:31.9	82
24-Jul	35:27.6	80
25-Jul	35:08.4	86
26-Jul	38:05.6	87
27-Jul	33:11.4	91
28-Jul	32:48.3	88
1-Aug	33:06.4	87
4-Aug	34:09.2	80
5-Aug	35:01.9	85
6-Aug	35:12.5	80
7-Aug	34:47.1	79
8-Aug	33:24.5	82
9-Aug	34:26.8	86
10-Aug	36:32.1	89
12-Aug	32:53.0	88
13-Aug	31:37.1	86
14-Aug	32:00.2	83
15-Aug	34:02.2	71
16-Aug	29:47.6	68
17-Aug	32:09.9	79
18-Aug	30:51.3	80
19-Aug	35:47.7	76
20-Aug	32:40.8	75
22-Aug	35:48.6	85
6-Sep	30:09.0	74
